account_id,owner_person_id,bank,opened_date,kyc_level
A000625,P000625,Yes Bank,2026-03-24,full
A000626,P000626,HDFC,2024-03-21,full
A000627,P000627,Bank of Baroda,2020-06-07,full
A000628,P000628,Yes Bank,2021-04-08,full
A000629,P000629,SBI,2023-08-09,full
A000630,P000630,Axis,2018-05-17,min
A000631,P000631,Axis,2017-12-22,full
A000632,P000632,ICICI,2023-03-10,min
A000633,P000633,Bank of Baroda,2019-03-15,full
A000634,P000634,Kotak,2024-08-03,min
A000635,P000635,Axis,2023-06-07,full
A000636,P000636,SBI,2026-06-04,min
A000637,P000637,Kotak,2018-05-20,full
A000638,P000638,Kotak,2023-04-17,full
A000639,P000639,SBI,2022-07-20,full
A000640,P000640,ICICI,2020-04-28,full
A000641,P000641,HDFC,2023-11-07,min
A000642,P000642,Axis,2023-01-24,full
A000643,P000643,HDFC,2019-12-01,full
A000644,P000644,ICICI,2020-07-21,min
A000645,P000645,SBI,2024-05-03,full
A000646,P000646,SBI,2021-06-19,full
A000647,P000647,PNB,2019-06-05,full
A000648,P000648,PNB,2018-05-21,full
A000649,P000649,Bank of Baroda,2023-01-25,full
A000650,P000650,HDFC,2026-03-19,full
A000651,P000651,Axis,2021-02-24,min
A000652,P000652,PNB,2025-02-25,full
A000653,P000653,Axis,2025-04-12,full
A000654,P000654,HDFC,2025-06-10,full
A000655,P000655,Axis,2025-05-20,full
A000656,P000656,Yes Bank,2017-11-16,full
A000657,P000657,SBI,2020-01-13,full
A000658,P000658,HDFC,2023-08-22,full
A000659,P000659,Kotak,2018-03-18,full
A000660,P000660,Yes Bank,2026-01-23,full
A000661,P000661,ICICI,2025-08-11,full
A000662,P000662,SBI,2018-05-21,full
A000663,P000663,HDFC,2021-12-05,full
A000664,P000664,ICICI,2025-01-22,full
A000665,P000665,HDFC,2020-10-07,full
A000666,P000666,HDFC,2023-07-22,full
A000667,P000667,Kotak,2024-01-06,full
A000668,P000668,Bank of Baroda,2023-12-30,full
A000669,P000669,HDFC,2024-06-19,full
A000670,P000670,ICICI,2024-03-24,full
A000671,P000671,SBI,2023-11-17,full
A000672,P000672,Bank of Baroda,2025-12-18,full
A000673,P000673,Yes Bank,2025-10-20,full
A000674,P000674,Axis,2022-10-21,full
A000675,P000675,Bank of Baroda,2026-04-25,full
A000676,P000676,Bank of Baroda,2019-03-15,full
A000677,P000677,HDFC,2025-12-15,full
A000678,P000678,Yes Bank,2020-03-09,full
A000679,P000679,PNB,2020-09-21,full
A000680,P000680,Kotak,2018-10-18,full
A000681,P000681,HDFC,2018-01-14,full
A000682,P000682,Kotak,2026-01-07,full
A000683,P000683,SBI,2026-02-12,min
A000684,P000684,HDFC,2022-12-21,full
A000685,P000685,SBI,2023-09-16,full
A000686,P000686,HDFC,2023-09-01,min
A000687,P000687,PNB,2020-03-21,full
A000688,P000688,Axis,2025-10-25,full
A000689,P000689,Bank of Baroda,2023-10-09,full
A000690,P000690,SBI,2021-10-09,full
A000691,P000691,Axis,2026-03-10,min
A000692,P000692,ICICI,2022-05-31,full
A000693,P000693,Kotak,2024-08-30,full
A000694,P000694,Yes Bank,2026-05-03,full
A000695,P000695,Axis,2023-02-13,full
A000696,P000696,PNB,2022-09-13,full
A000697,P000697,Bank of Baroda,2026-07-07,full
A000698,P000698,Yes Bank,2025-08-04,full
A000699,P000699,Kotak,2024-07-13,full
A000700,P000700,Bank of Baroda,2026-07-02,full
A000701,P000701,ICICI,2019-09-28,full
A000702,P000702,PNB,2018-09-17,min
A000703,P000703,PNB,2019-01-30,full
A000704,P000704,PNB,2024-06-26,full
A000705,P000705,PNB,2024-04-27,min
A000706,P000706,Axis,2020-02-27,full
A000707,P000707,Axis,2019-10-08,full
A000708,P000708,Kotak,2022-10-16,full
A000709,P000709,Yes Bank,2022-06-12,full
A000710,P000710,ICICI,2023-12-31,full
A000711,P000711,SBI,2018-05-02,full
A000712,P000712,Bank of Baroda,2021-11-07,full
A000713,P000713,SBI,2018-01-15,full
A000714,P000714,PNB,2021-12-11,full
A000715,P000715,Axis,2021-08-22,full
A000716,P000716,Bank of Baroda,2020-03-19,full
A000717,P000717,Bank of Baroda,2018-09-08,full
A000718,P000718,ICICI,2018-03-15,full
A000719,P000719,HDFC,2026-05-08,full
A000720,P000720,ICICI,2026-02-20,min
A000721,P000721,Yes Bank,2024-03-23,min
A000722,P000722,SBI,2018-05-30,min
A000723,P000723,SBI,2019-02-11,min
A000724,P000724,Yes Bank,2025-04-17,full
A000725,P000725,HDFC,2019-06-02,min
A000726,P000726,HDFC,2019-09-13,full
A000727,P000727,Kotak,2024-08-01,min
A000728,P000728,Bank of Baroda,2021-07-04,min
A000729,P000729,ICICI,2020-12-31,full
A000730,P000730,Kotak,2025-10-04,full
A000731,P000731,Yes Bank,2018-09-25,full
A000732,P000732,HDFC,2022-02-23,full
A000733,P000733,Axis,2022-04-03,full
A000734,P000734,HDFC,2017-10-21,full
A000735,P000735,Yes Bank,2018-05-31,full
A000736,P000736,Kotak,2020-09-16,min
A000737,P000737,HDFC,2024-03-06,full
A000738,P000738,HDFC,2023-12-15,full
A000739,P000739,Yes Bank,2022-10-03,full
A000740,P000740,HDFC,2026-06-27,full
A000741,P000741,Yes Bank,2025-08-21,full
A000742,P000742,Axis,2019-05-24,full
A000743,P000743,Axis,2024-11-24,full
A000744,P000744,HDFC,2019-04-15,full
A000745,P000745,Axis,2024-11-01,full
A000746,P000746,SBI,2023-06-10,full
A000747,P000747,PNB,2021-01-28,full
A000748,P000748,Yes Bank,2023-11-21,full
A000749,P000749,Bank of Baroda,2020-08-30,full
A000750,P000750,ICICI,2017-11-23,full
A000751,P000751,ICICI,2022-06-21,full
A000752,P000752,PNB,2018-08-24,full
A000753,P000753,HDFC,2023-03-31,full
A000754,P000754,Kotak,2024-11-19,full
A000755,P000755,Yes Bank,2024-12-06,full
A000756,P000756,HDFC,2022-04-27,min
A000757,P000757,ICICI,2021-06-10,min
A000758,P000758,SBI,2025-04-29,full
A000759,P000759,Kotak,2018-03-21,full
A000760,P000760,HDFC,2019-06-09,full
A000761,P000761,Kotak,2023-05-16,full
A000762,P000762,HDFC,2018-05-15,full
A000763,P000763,SBI,2023-03-09,full
A000764,P000764,SBI,2019-03-18,full
A000765,P000765,SBI,2024-05-30,min
A000766,P000766,ICICI,2021-02-21,full
A000767,P000767,SBI,2018-01-08,full
A000768,P000768,HDFC,2025-05-17,full
A000769,P000769,Kotak,2020-01-04,full
A000770,P000770,Yes Bank,2019-08-06,full
A000771,P000771,Kotak,2020-09-17,full
A000772,P000772,Kotak,2025-04-02,full
A000773,P000773,Kotak,2017-11-10,full
A000774,P000774,Axis,2024-02-20,full
A000775,P000775,ICICI,2024-06-15,full
A000776,P000776,HDFC,2021-11-01,full
A000777,P000777,Axis,2025-09-01,min
A000778,P000778,Kotak,2019-06-06,full
A000779,P000779,PNB,2023-02-06,full
A000780,P000780,Bank of Baroda,2019-02-13,full
A000781,P000781,Yes Bank,2026-07-06,full
A000782,P000782,PNB,2019-02-24,full
A000783,P000783,ICICI,2021-03-13,full
A000784,P000784,HDFC,2026-06-03,full
A000785,P000785,HDFC,2019-05-16,full
A000786,P000786,HDFC,2021-09-28,full
A000787,P000787,PNB,2020-02-22,min
A000788,P000788,Axis,2023-10-29,full
A000789,P000789,PNB,2021-09-11,full
A000790,P000790,Kotak,2019-01-19,full
A000791,P000791,PNB,2018-05-14,full
A000792,P000792,Yes Bank,2021-09-15,full
A000793,P000793,SBI,2026-06-04,min
A000794,P000794,Bank of Baroda,2017-12-18,full
A000795,P000795,Bank of Baroda,2023-03-28,full
A000796,P000796,SBI,2024-04-10,full
A000797,P000797,Axis,2024-07-07,full
A000798,P000798,Axis,2025-10-22,full
A000799,P000799,ICICI,2025-12-18,full
A000800,P000800,SBI,2020-06-19,full
A000801,P000801,PNB,2026-04-09,full
A000802,P000802,Bank of Baroda,2021-08-26,full
A000803,P000803,Bank of Baroda,2026-01-09,full
A000804,P000804,Yes Bank,2025-12-16,full
A000805,P000805,HDFC,2024-10-15,full
A000806,P000806,Bank of Baroda,2025-10-16,full
A000807,P000807,Kotak,2025-07-17,full
A000808,P000808,Yes Bank,2021-09-30,min
A000809,P000809,Kotak,2022-09-30,full
A000810,P000810,PNB,2021-09-10,min
A000811,P000811,ICICI,2024-04-22,full
A000812,P000812,Yes Bank,2021-03-30,full
A000813,P000813,Yes Bank,2019-05-14,full
A000814,P000814,Kotak,2023-11-27,full
A000815,P000815,ICICI,2024-05-14,full
A000816,P000816,Axis,2022-10-14,full
A000817,P000817,SBI,2022-12-16,full
A000818,P000818,Axis,2024-12-14,full
A000819,P000819,ICICI,2025-08-09,full
A000820,P000820,Yes Bank,2025-02-12,full
A000821,P000821,HDFC,2018-09-09,full
A000822,P000822,Bank of Baroda,2025-07-24,full
A000823,P000823,Kotak,2022-08-04,full
A000824,P000824,PNB,2025-01-04,full
A000825,P000825,HDFC,2025-07-18,full
A000826,P000826,Bank of Baroda,2018-01-13,full
A000827,P000827,PNB,2025-05-28,full
A000828,P000828,PNB,2024-06-09,full
A000829,P000829,PNB,2026-02-26,full
A000830,P000830,Kotak,2023-04-26,full
A000831,P000831,SBI,2018-08-28,min
A000832,P000832,Axis,2020-11-04,full
A000833,P000833,SBI,2022-05-25,full
A000834,P000834,ICICI,2026-06-20,full
A000835,P000835,ICICI,2025-12-04,full
A000836,P000836,PNB,2021-10-08,full
A000837,P000837,SBI,2020-04-03,full
A000838,P000838,SBI,2025-04-21,min
A000839,P000839,PNB,2026-06-11,full
A000840,P000840,PNB,2026-03-10,full
A000841,P000841,Yes Bank,2022-08-18,full
A000842,P000842,PNB,2023-02-15,full
A000843,P000843,PNB,2024-06-17,full
A000844,P000844,PNB,2022-04-29,full
A000845,P000845,Bank of Baroda,2022-02-16,min
A000846,P000846,Axis,2024-01-29,full
A000847,P000847,Axis,2021-11-19,full
A000848,P000848,ICICI,2021-02-21,min
A000849,P000849,Bank of Baroda,2018-05-01,full
A000850,P000850,HDFC,2017-10-23,min
A000851,P000851,Axis,2025-01-09,full
A000852,P000852,Yes Bank,2025-04-02,full
A000853,P000853,SBI,2025-09-28,min
A000854,P000854,SBI,2019-01-28,full
A000855,P000855,PNB,2024-01-05,full
A000856,P000856,HDFC,2021-12-06,full
A000857,P000857,PNB,2021-06-01,full
A000858,P000858,SBI,2024-03-22,full
A000859,P000859,Kotak,2023-10-19,full
A000860,P000860,Axis,2020-03-06,full
A000861,P000861,Yes Bank,2019-09-05,full
A000862,P000862,Yes Bank,2018-05-16,full
A000863,P000863,Axis,2023-09-29,full
A000864,P000864,HDFC,2024-02-12,full
A000865,P000865,Axis,2017-10-18,full
A000866,P000866,SBI,2021-06-04,full
A000867,P000867,SBI,2019-03-27,full
A000868,P000868,HDFC,2021-04-13,full
A000869,P000869,SBI,2022-07-02,full
A000870,P000870,HDFC,2026-05-20,full
A000871,P000871,ICICI,2020-07-29,full
A000872,P000872,SBI,2024-07-25,min
A000873,P000873,ICICI,2022-03-31,full
A000874,P000874,HDFC,2021-09-17,full
A000875,P000875,Axis,2025-12-26,full
A000876,P000876,Kotak,2021-05-29,full
A000877,P000877,Bank of Baroda,2020-09-23,full
A000878,P000878,Bank of Baroda,2024-01-28,min
A000879,P000879,SBI,2024-10-22,full
A000880,P000880,SBI,2022-06-30,full
A000881,P000881,HDFC,2020-05-11,full
A000882,P000882,ICICI,2022-08-25,full
A000883,P000883,HDFC,2023-08-17,full
A000884,P000884,HDFC,2026-01-08,full
A000885,P000885,PNB,2022-05-06,full
A000886,P000886,Axis,2022-11-29,full
A000887,P000887,Yes Bank,2025-07-01,full
A000888,P000888,HDFC,2019-08-07,full
A000889,P000889,Bank of Baroda,2022-11-03,full
A000890,P000890,Kotak,2018-11-11,full
A000891,P000891,ICICI,2026-05-19,full
A000892,P000892,Kotak,2018-02-09,full
A000893,P000893,ICICI,2023-10-14,min
A000894,P000894,Kotak,2026-05-30,full
A000895,P000895,Yes Bank,2023-08-13,full
A000896,P000896,Axis,2022-08-17,full
A000897,P000897,PNB,2022-12-03,full
A000898,P000898,PNB,2019-06-11,full
A000899,P000899,SBI,2024-09-14,full
A000900,P000900,HDFC,2025-10-26,full
A000901,P000901,PNB,2026-07-06,min
A000902,P000902,HDFC,2019-10-27,full
A000903,P000903,Axis,2023-04-05,full
A000904,P000904,Axis,2020-12-24,full
A000905,P000905,Kotak,2023-05-23,full
A000906,P000906,PNB,2024-02-16,full
A000907,P000907,ICICI,2021-08-19,full
A000908,P000908,HDFC,2021-08-27,min
A000909,P000909,ICICI,2026-01-15,full
A000910,P000910,Axis,2024-10-05,full
A000911,P000911,Kotak,2024-03-15,full
A000912,P000912,Yes Bank,2026-07-08,full
A000913,P000913,PNB,2024-07-12,full
A000914,P000914,Kotak,2020-06-21,full
A000915,P000915,Kotak,2026-05-13,full
A000916,P000916,HDFC,2022-10-17,full
A000917,P000917,ICICI,2018-06-22,full
A000918,P000918,Bank of Baroda,2024-07-18,full
A000919,P000919,Axis,2025-01-15,full
A000920,P000920,SBI,2019-06-20,full
A000921,P000921,SBI,2026-01-15,full
A000922,P000922,Bank of Baroda,2023-02-26,full
A000923,P000923,PNB,2020-08-20,full
A000924,P000924,Bank of Baroda,2019-01-08,full
A000925,P000925,HDFC,2022-03-27,full
A000926,P000926,HDFC,2025-03-19,full
A000927,P000927,HDFC,2025-02-19,full
A000928,P000928,HDFC,2020-05-31,min
A000929,P000929,PNB,2024-05-09,full
A000930,P000930,PNB,2022-07-14,min
A000931,P000931,PNB,2026-01-04,full
A000932,P000932,HDFC,2018-12-17,full
A000933,P000933,PNB,2020-11-20,full
A000934,P000934,Bank of Baroda,2018-01-19,full
A000935,P000935,Yes Bank,2017-10-30,full
A000936,P000936,Kotak,2026-03-27,full
A000937,P000937,Bank of Baroda,2024-12-29,full
A000938,P000938,PNB,2026-03-14,full
A000939,P000939,Axis,2019-10-13,min
A000940,P000940,PNB,2020-04-08,min
A000941,P000941,HDFC,2023-10-02,full
A000942,P000942,SBI,2023-07-16,min
A000943,P000943,PNB,2018-12-06,full
A000944,P000944,ICICI,2026-04-17,full
A000945,P000945,HDFC,2017-10-27,full
A000946,P000946,Yes Bank,2018-02-17,full
A000947,P000947,PNB,2021-12-19,full
A000948,P000948,PNB,2023-02-02,min
A000949,P000949,Kotak,2023-05-05,full
A000950,P000950,Yes Bank,2023-08-20,full
A000951,P000951,SBI,2022-04-05,full
A000952,P000952,Kotak,2019-08-15,full
A000953,P000953,Axis,2023-04-27,full
A000954,P000954,Yes Bank,2021-09-22,full
A000955,P000955,Yes Bank,2022-07-16,full
A000956,P000956,Yes Bank,2024-12-12,full
A000957,P000957,ICICI,2023-12-31,full
A000958,P000958,Axis,2023-05-24,full
A000959,P000959,PNB,2021-06-04,full
A000960,P000960,PNB,2023-06-14,full
A000961,P000961,SBI,2026-04-30,full
A000962,P000962,HDFC,2019-11-24,full
A000963,P000963,ICICI,2022-09-09,full
A000964,P000964,Axis,2018-05-30,min
A000965,P000965,Axis,2025-02-01,full
A000966,P000966,HDFC,2021-03-15,full
A000967,P000967,Yes Bank,2025-09-09,full
A000968,P000968,SBI,2019-11-24,full
A000969,P000969,PNB,2018-12-21,full
A000970,P000970,Axis,2024-05-09,full
A000971,P000971,Yes Bank,2018-10-29,min
A000972,P000972,Kotak,2018-12-10,full
A000973,P000973,Axis,2024-03-18,min
A000974,P000974,Axis,2025-03-09,full
A000975,P000975,SBI,2021-11-25,full
A000976,P000976,Kotak,2020-02-13,full
A000977,P000977,Axis,2021-12-20,full
A000978,P000978,Kotak,2023-10-24,full
A000979,P000979,Yes Bank,2019-10-30,full
A000980,P000980,Bank of Baroda,2024-12-29,full
A000981,P000981,HDFC,2025-12-16,full
A000982,P000982,Bank of Baroda,2025-11-29,min
A000983,P000983,PNB,2021-12-21,full
A000984,P000984,SBI,2018-01-18,full
A000985,P000985,HDFC,2022-11-23,full
A000986,P000986,SBI,2017-11-17,full
A000987,P000987,Bank of Baroda,2020-04-09,full
A000988,P000988,PNB,2026-04-03,full
A000989,P000989,SBI,2024-12-07,full
A000990,P000990,Yes Bank,2024-04-07,full
A000991,P000991,HDFC,2020-09-26,full
A000992,P000992,Bank of Baroda,2025-12-04,full
A000993,P000993,ICICI,2018-02-01,full
A000994,P000994,Yes Bank,2019-07-08,min
A000995,P000995,Axis,2019-05-01,full
A000996,P000996,Bank of Baroda,2018-02-14,full
A000997,P000997,ICICI,2022-02-20,full
A000998,P000998,PNB,2020-12-30,min
A000999,P000999,ICICI,2023-04-27,full
A001000,P001000,PNB,2019-02-24,full
A001001,P001001,SBI,2020-09-23,min
A001002,P001002,Bank of Baroda,2026-01-27,full
A001003,P001003,ICICI,2024-03-23,min
A001004,P001004,Bank of Baroda,2022-12-03,full
A001005,P001005,PNB,2022-03-19,full
A001006,P001006,Kotak,2024-07-27,full
A001007,P001007,Yes Bank,2025-01-31,full
A001008,P001008,PNB,2023-07-17,full
A001009,P001009,Bank of Baroda,2023-09-28,full
A001010,P001010,Axis,2022-04-17,full
A001011,P001011,Axis,2022-08-05,full
A001012,P001012,Kotak,2026-07-08,full
A001013,P001013,ICICI,2025-03-17,full
A001014,P001014,Axis,2018-08-22,full
A001015,P001015,SBI,2026-06-30,full
A001016,P001016,SBI,2024-01-07,full
A001017,P001017,Axis,2024-04-07,full
A001018,P001018,Axis,2019-04-08,full
A001019,P001019,ICICI,2026-01-24,full
A001020,P001020,Yes Bank,2019-08-19,full
A001021,P001021,Yes Bank,2020-08-16,full
A001022,P001022,HDFC,2026-04-21,full
A001023,P001023,SBI,2022-07-29,full
A001024,P001024,SBI,2025-04-11,full
A001025,P001025,Bank of Baroda,2020-08-15,full
A001026,P001026,ICICI,2019-05-19,full
A001027,P001027,ICICI,2026-02-27,full
A001028,P001028,Kotak,2024-07-18,full
A001029,P001029,Kotak,2023-11-09,full
A001030,P001030,SBI,2017-12-27,full
A001031,P001031,HDFC,2020-03-30,full
A001032,P001032,Bank of Baroda,2024-04-04,full
A001033,P001033,Axis,2018-09-26,full
A001034,P001034,PNB,2021-05-02,full
A001035,P001035,SBI,2026-03-03,full
A001036,P001036,PNB,2025-09-19,full
A001037,P001037,SBI,2024-01-29,full
A001038,P001038,Bank of Baroda,2024-02-29,min
A001039,P001039,Yes Bank,2019-03-13,full
A001040,P001040,Yes Bank,2023-06-06,full
A001041,P001041,PNB,2022-06-23,full
A001042,P001042,Yes Bank,2020-11-21,full
A001043,P001043,SBI,2018-11-17,full
A001044,P001044,Bank of Baroda,2026-05-06,full
A001045,P001045,Bank of Baroda,2019-11-21,full
A001046,P001046,SBI,2026-06-10,full
A001047,P001047,ICICI,2021-02-04,full
A001048,P001048,ICICI,2017-10-26,full
A001049,P001049,Kotak,2021-04-18,full
A001050,P001050,Axis,2026-02-12,full
A001051,P001051,Yes Bank,2023-07-26,full
A001052,P001052,HDFC,2020-08-11,full
A001053,P001053,SBI,2023-10-30,full
A001054,P001054,Kotak,2023-01-05,full
A001055,P001055,SBI,2018-10-10,full
A001056,P001056,Kotak,2024-12-23,full
A001057,P001057,Bank of Baroda,2018-03-21,full
A001058,P001058,Axis,2021-07-03,full
A001059,P001059,ICICI,2025-03-07,min
A001060,P001060,PNB,2018-10-20,min
A001061,P001061,SBI,2022-12-05,full
A001062,P001062,ICICI,2022-04-25,full
A001063,P001063,Axis,2024-02-20,full
A001064,P001064,HDFC,2024-05-07,min
A001065,P001065,Axis,2018-03-10,min
A001066,P001066,ICICI,2026-03-31,full
A001067,P001067,Kotak,2019-05-03,full
A001068,P001068,Bank of Baroda,2019-11-05,min
A001069,P001069,Bank of Baroda,2022-06-30,full
A001070,P001070,Yes Bank,2021-11-22,full
A001071,P001071,Bank of Baroda,2023-03-16,full
A001072,P001072,Yes Bank,2024-08-25,full
A001073,P001073,SBI,2026-01-25,min
A001074,P001074,PNB,2026-03-16,full
A001075,P001075,Bank of Baroda,2020-06-25,min
A001076,P001076,Yes Bank,2018-06-08,full
A001077,P001077,HDFC,2022-10-09,full
A001078,P001078,SBI,2026-05-21,min
A001079,P001079,PNB,2026-05-30,full
A001080,P001080,HDFC,2022-10-19,min
A001081,P001081,Kotak,2018-02-20,min
A001082,P001082,Bank of Baroda,2021-01-09,full
A001083,P001083,Kotak,2025-01-27,full
A001084,P001084,Bank of Baroda,2019-05-23,full
A001085,P001085,Axis,2025-08-06,full
A001086,P001086,Yes Bank,2023-01-17,min
A001087,P001087,HDFC,2025-05-17,full
A001088,P001088,SBI,2020-10-19,full
A001089,P001089,Kotak,2018-04-15,full
A001090,P001090,Kotak,2022-09-07,full
A001091,P001091,Kotak,2023-10-22,full
A001092,P001092,Bank of Baroda,2020-12-11,full
A001093,P001093,SBI,2018-12-06,full
A001094,P001094,Yes Bank,2019-11-09,full
A001095,P001095,PNB,2025-08-10,full
A001096,P001096,Bank of Baroda,2017-10-19,full
A001097,P001097,Yes Bank,2024-04-17,full
A001098,P001098,Yes Bank,2019-12-06,full
A001099,P001099,ICICI,2024-07-25,full
A001100,P001100,Kotak,2026-05-17,min
A001101,P001101,ICICI,2022-02-11,full
A001102,P001102,Bank of Baroda,2025-06-01,full
A001103,P001103,Kotak,2025-10-14,full
A001104,P001104,HDFC,2017-12-04,full
A001105,P001105,Bank of Baroda,2018-02-14,full
A001106,P001106,Kotak,2018-07-17,full
A001107,P001107,Bank of Baroda,2018-03-20,full
A001108,P001108,PNB,2020-02-04,full
A001109,P001109,ICICI,2022-05-31,full
A001110,P001110,Axis,2021-03-10,full
A001111,P001111,Bank of Baroda,2026-04-03,full
A001112,P001112,Bank of Baroda,2018-10-01,full
A001113,P001113,Axis,2024-10-13,full
A001114,P001114,ICICI,2020-09-08,full
A001115,P001115,Axis,2021-04-10,full
A001116,P001116,SBI,2024-02-23,full
A001117,P001117,ICICI,2026-05-13,full
A001118,P001118,Axis,2026-01-17,full
A001119,P001119,Axis,2026-05-16,full
A001120,P001120,Bank of Baroda,2023-07-12,full
A001121,P001121,Yes Bank,2026-01-06,full
A001122,P001122,SBI,2024-05-16,min
A001123,P001123,ICICI,2022-01-19,full
A001124,P001124,Axis,2021-03-29,full
A001125,P001125,SBI,2024-04-27,min
A001126,P001126,ICICI,2020-01-26,full
A001127,P001127,ICICI,2019-03-29,full
A001128,P001128,Yes Bank,2022-01-29,full
A001129,P001129,PNB,2023-09-19,full
A001130,P001130,SBI,2018-04-27,full
A001131,P001131,Axis,2025-02-11,full
A001132,P001132,SBI,2026-03-01,full
A001133,P001133,Axis,2025-07-24,min
A001134,P001134,HDFC,2019-07-12,full
A001135,P001135,Kotak,2019-01-24,full
A001136,P001136,ICICI,2017-10-22,min
A001137,P001137,HDFC,2026-04-02,full
A001138,P001138,Kotak,2025-02-03,full
A001139,P001139,Kotak,2018-10-13,min
A001140,P001140,ICICI,2026-01-20,full
A001141,P001141,Kotak,2019-07-20,full
A001142,P001142,ICICI,2025-03-06,full
A001143,P001143,Kotak,2024-09-01,full
A001144,P001144,PNB,2021-08-21,full
A001145,P001145,Bank of Baroda,2026-06-01,full
A001146,P001146,Yes Bank,2018-08-29,min
A001147,P001147,Kotak,2024-01-16,full
A001148,P001148,Yes Bank,2024-01-05,full
A001149,P001149,Bank of Baroda,2018-08-28,full
A001150,P001150,ICICI,2020-07-28,full
A001151,P001151,Axis,2024-11-23,full
A001152,P001152,Kotak,2019-08-20,full
A001153,P001153,Axis,2023-08-13,full
A001154,P001154,HDFC,2018-09-01,full
A001155,P001155,SBI,2025-05-22,full
A001156,P001156,Axis,2024-01-04,full
A001157,P001157,Kotak,2019-12-15,full
A001158,P001158,HDFC,2020-09-21,full
A001159,P001159,HDFC,2017-12-13,full
A001160,P001160,HDFC,2021-04-20,min
A001161,P001161,PNB,2024-04-28,full
A001162,P001162,Yes Bank,2018-12-24,full
A001163,P001163,HDFC,2025-07-13,full
A001164,P001164,Bank of Baroda,2026-07-14,full
A001165,P001165,PNB,2019-12-21,full
A001166,P001166,SBI,2024-01-22,full
A001167,P001167,Bank of Baroda,2020-09-06,full
A001168,P001168,SBI,2018-04-25,full
A001169,P001169,Bank of Baroda,2021-02-20,min
A001170,P001170,PNB,2025-06-20,full
A001171,P001171,Axis,2022-02-03,full
A001172,P001172,SBI,2026-04-04,full
A001173,P001173,HDFC,2018-06-20,full
A001174,P001174,ICICI,2024-03-03,full
A001175,P001175,ICICI,2023-04-29,full
A001176,P001176,Kotak,2026-06-04,min
A001177,P001177,ICICI,2021-11-10,full
A001178,P001178,Bank of Baroda,2023-02-22,full
A001179,P001179,SBI,2019-04-10,full
A001180,P001180,PNB,2020-12-05,full
A001181,P001181,PNB,2022-03-08,full
A001182,P001182,PNB,2023-01-21,full
A001183,P001183,Bank of Baroda,2025-04-12,min
A001184,P001184,SBI,2024-04-05,min
A001185,P001185,SBI,2024-03-14,full
A001186,P001186,SBI,2022-05-28,full
A001187,P001187,HDFC,2025-09-01,min
A001188,P001188,Yes Bank,2025-02-20,min
A001189,P001189,SBI,2021-07-11,min
A001190,P001190,SBI,2024-06-06,full
A001191,P001191,Kotak,2021-07-16,min
A001192,P001192,Yes Bank,2018-03-19,full
A001193,P001193,Yes Bank,2021-05-04,full
A001194,P001194,Kotak,2019-06-15,full
A001195,P001195,Bank of Baroda,2020-12-02,full
A001196,P001196,ICICI,2022-02-23,full
A001197,P001197,Axis,2026-02-13,full
A001198,P001198,Axis,2020-07-09,full
A001199,P001199,Yes Bank,2021-08-06,full
A001200,P001200,HDFC,2022-02-16,min
A001201,P001201,Kotak,2020-06-26,full
A001202,P001202,Bank of Baroda,2020-07-27,full
A001203,P001203,ICICI,2024-11-03,full
A001204,P001204,ICICI,2023-08-07,full
A001205,P001205,Yes Bank,2018-09-04,full
A001206,P001206,SBI,2020-07-26,full
A001207,P001207,PNB,2026-05-25,full
A001208,P001208,Kotak,2019-05-23,full
A001209,P001209,ICICI,2023-12-29,min
A001210,P001210,PNB,2026-06-07,full
A001211,P001211,SBI,2018-12-15,full
A001212,P001212,Axis,2025-05-10,full
A001213,P001213,Kotak,2021-06-18,full
A001214,P001214,PNB,2020-11-03,full
A001215,P001215,PNB,2024-01-26,full
A001216,P001216,PNB,2025-01-08,full
A001217,P001217,Bank of Baroda,2022-01-05,full
A001218,P001218,PNB,2022-05-05,full
A001219,P001219,Kotak,2025-06-13,full
A001220,P001220,HDFC,2026-07-01,full
A001221,P001221,PNB,2026-07-04,full
A001222,P001222,PNB,2025-06-02,full
A001223,P001223,Axis,2022-09-17,min
A001224,P001224,Kotak,2019-11-30,full
A001225,P001225,SBI,2024-01-14,full
A001226,P001226,HDFC,2023-01-05,full
A001227,P001227,SBI,2018-10-10,min
A001228,P001228,Yes Bank,2017-10-29,full
A001229,P001229,Bank of Baroda,2026-01-27,full
A001230,P001230,SBI,2018-07-13,full
A001231,P001231,SBI,2026-04-25,full
A001232,P001232,Kotak,2018-04-01,full
A001233,P001233,Bank of Baroda,2021-07-18,min
A001234,P001234,HDFC,2026-04-04,full
A001235,P001235,Kotak,2021-10-09,full
A001236,P001236,Kotak,2021-01-13,full
A001237,P001237,HDFC,2024-02-14,full
A001238,P001238,Kotak,2022-08-28,full
A001239,P001239,HDFC,2021-10-25,full
A001240,P001240,Axis,2018-05-20,full
A001241,P001241,Axis,2021-12-09,full
A001242,P001242,Kotak,2024-06-12,min
A001243,P001243,HDFC,2019-03-03,full
A001244,P001244,HDFC,2018-05-27,full
A001245,P001245,Axis,2024-04-28,full
A001246,P001246,HDFC,2019-08-12,full
A001247,P001247,SBI,2022-03-12,min
A001248,P001248,Kotak,2024-03-16,full
A001249,P001249,SBI,2024-10-28,full
A001250,P001250,HDFC,2017-10-29,full
A001251,P001251,Yes Bank,2024-12-11,full
